﻿Modèle,SN,N° Chargeur,Propriétaire,Statut,Garanti,Contrat,Commentaires,Date Garantie,Provenance,Date,Dernière modification,Dernière modification par
HP 240/245 G8,5CG1304QF8,,mcatelai (https://www.notion.so/mcatelai-d832690e160c4e4d8b5e03d45a74fe5f?pvs=21),"Problème, Promo P1 - 2023",Application,Oui,"Arrête pas de s’arrêter (problème ventilo, température etc)  "," 28/10/2021 -  27/10/2022",XEFI,,19 août 2024 14:16,Vivien
ASUS R515EA,N3N0CV22P71613B,,kleclere (https://www.notion.so/kleclere-db162b55c1ef45c69cc0bf7b1c2e24c0?pvs=21),"Problème, Promo P2 - 2023",Application,Oui,"Ne fonctionne plus ",Constructeur 2 ans Jusqu'au 01/10/2024,LDLC,,19 août 2024 14:16,Vivien
HP 240/245 G8,5CG1304QF3,,tfort (https://www.notion.so/tfort-b14893626bf3438db875255e50ce8e85?pvs=21),Problème,Chèque,Oui,"NE FONCTIONNE PLUS - Cassé bord haut gauche, tfort. Paie facture Août 2024"," 28/10/2021 -  27/10/2022",XEFI,,19 août 2024 14:16,Vivien
ASUS R515EA,N3N0CV22P756138,,hpierrac (https://www.notion.so/hpierrac-573c1eeed3fd4f46b2a7a70df95f1290?pvs=21),À RESET,Aucune,Non,,Constructeur 2 ans Jusqu'au 01/10/2024,LDLC,,19 août 2024 14:14,Vivien
ASUS R515EA,N3N0CV22P77913H,23,jpiou (https://www.notion.so/jpiou-6d14f26bb17f45b3b570e29568963154?pvs=21),À RESET,Aucune,Non,,"Constructeur 2 ans Jusqu'au 31/01/2025, Facture : 31/01/2023
",LDLC,,19 août 2024 14:13,Vivien
ASUS R515EA,N3N0CV22P749137,,jbafola (https://www.notion.so/jbafola-e6e347c49d954843b339a0353aba4a80?pvs=21),À RESET,Aucune,Non,,Constructeur 2 ans Jusqu'au 01/10/2024,LDLC,,19 août 2024 14:13,Vivien
ASUS R515EA,N3N0CV22P75413F,,,À RESET,Aucune,Non,Hélène DUARTE (15/04),Constructeur 2 ans Jusqu'au 01/10/2024,LDLC,,19 août 2024 14:13,Vivien
ASUS R515EA,N3N0CV22P76713G,,,À RESET,Aucune,Non,"Dualboot ",Constructeur 2 ans Jusqu'au 01/10/2024,LDLC,,6 septembre 2024 16:50,Vivien
ASUS R515EA,N3N0CV22P77313C,,,À RESET,Aucune,Non,,Constructeur 2 ans Jusqu'au 01/10/2024,LDLC,,19 août 2024 14:12,Vivien
ASUS R515EA,N3N0CV22P753139,,,À RESET,Aucune,Non,,Constructeur 2 ans Jusqu'au 01/10/2024,LDLC,,19 août 2024 14:12,Vivien
ASUS R515EA,N3N0CV22P750137,,,Disponible,Aucune,Non,"Dualboot ",Constructeur 2 ans Jusqu'au 01/10/2024,LDLC,,19 août 2024 14:11,Vivien
ASUS R515EA,N3N0CV22P755135,,,Disponible,Aucune,Non,,"Constructeur 2 ans Jusqu'au 31/01/2025, Facture : 31/01/2023
",LDLC,,19 août 2024 14:11,Vivien
ASUS R515EA,N3N0CV22P72713C,,,Disponible,Aucune,Non,"Dualboot ",Constructeur 2 ans Jusqu'au 01/10/2024,LDLC,,19 août 2024 14:11,Vivien
NB50TZ,V@-AYX-120123-035,,,Disponible,Aucune,Non,,"1 an, Jusqu'au 24/01/2024",WeeeFund,,19 août 2024 14:10,Vivien
ASUS S14,R1N0CV12L259052,17,Diane (https://www.notion.so/Diane-c1fa9bda35f34d1faad02e1d4fa81f9b?pvs=21),Promo P1 - 2023,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,5 septembre 2024 12:17,Vivien
ASUS S14,R1N0CV12K98205C,,mleriche (https://www.notion.so/mleriche-a50c6cce7c11474eb8439e246f718057?pvs=21),À RESET,Aucune,Non,,"2 ans, Jusqu'au 25/05/2025",Darty,,19 août 2024 14:02,Vivien
ASUS S14,R1N0CV12L27305B,,,À RESET,Aucune,Non,,"2 ans, Jusqu'au 25/05/2025",Darty,,19 septembre 2024 10:27,Vivien
ASUS S14,R1N0CV12L173056,,,À RESET,Aucune,Non,,"2 ans, Jusqu'au 25/05/2025",Darty,,19 août 2024 14:01,Vivien
MSI Modern 14,K2401N0110619,,,Disponible,Aucune,Non,,03/07/2024 - 03/07/2027,LDLC,,19 août 2024 14:00,Vivien
MSI Modern 14,K2401N0110581,,,Disponible,Aucune,Non,,03/07/2024 - 03/07/2027,LDLC,,19 août 2024 14:00,Vivien
MSI Modern 14,K2401N0110616,,,Disponible,Aucune,Non,,03/07/2024 - 03/07/2027,LDLC,,19 août 2024 14:00,Vivien
MSI Modern 14,K2401N0110632,,,Disponible,Aucune,Non,,03/07/2024 - 03/07/2027,LDLC,,19 août 2024 13:59,Vivien
MSI Modern 14,K2401N0110566,,,Disponible,Aucune,Non,,03/07/2024 - 03/07/2027,LDLC,,19 août 2024 13:59,Vivien
MSI Modern 14,K2401N0110575,MSI4,drodolph (https://www.notion.so/drodolph-9b836c2db5f546a7b1dd14f4324991a0?pvs=21),Promo P1 - 2023,Application,Oui,Prêt pc Rodolphe,03/07/2024 - 03/07/2027,LDLC,,19 septembre 2024 10:32,Vivien
MSI Modern 14,K2401N0110564,,,Disponible,Aucune,Non,,03/07/2024 - 03/07/2027,LDLC,,19 août 2024 13:58,Vivien
MSI Modern 14,K2401N0110608,,,Disponible,Aucune,Non,,03/07/2024 - 03/07/2027,LDLC,,19 août 2024 13:57,Vivien
MSI Modern 14,K2401N0110565,MSI14,ldagieu (https://www.notion.so/ldagieu-71c7ed921cbe40afb882c708ae80fc83?pvs=21),Promo P1 - 2023,Aucune,Oui,,03/07/2024 - 03/07/2027,LDLC,,13 septembre 2024 16:07,Vivien
MSI Modern 14,K2401N0110634,MSI2,jborges (https://www.notion.so/jborges-3a0cfd9ddbc647b38298a9a32863a4a4?pvs=21),Promo P1 - 2023,Application,Oui,,03/07/2024 - 03/07/2027,LDLC,,13 septembre 2024 16:07,Vivien
